R 	 D9o2 	 D9q 	 D9m4a 
0.1 	 0.0000 	 -0.1635 	 -0.6971 
0.1 	 0.0000 	 1.4743 	 0.1669 
0.3 	 0.0000 	 0.8750 	 0.4124 
0.3 	 0.0000 	 0.4160 	 0.2652 
0.4 	 0.0000 	 0.2797 	 0.2145 
0.6 	 0.0000 	 0.1051 	 0.1922 
0.6 	 0.0000 	 0.0792 	 0.1948 
0.7 	 0.0000 	 -0.0160 	 0.1976 
0.8 	 0.0000 	 -0.0424 	 0.2425 
1.0 	 0.0000 	 0.0155 	 0.2573 
1.1 	 0.0000 	 0.0215 	 0.2373 
1.2 	 0.0000 	 0.0252 	 0.2244 
1.3 	 0.0000 	 0.0349 	 0.2192 
1.4 	 0.0000 	 0.0739 	 0.2065 
1.5 	 0.0000 	 0.1043 	 0.2120 
1.5 	 0.0000 	 0.1242 	 0.2027 
1.6 	 0.0000 	 0.1326 	 0.1896 
1.7 	 0.0000 	 0.1453 	 0.1960 
1.8 	 0.0000 	 0.1342 	 0.2413 
1.9 	 0.0000 	 0.1233 	 0.2814 
