R 	 D9o2 	 D9q 	 D9m4a 
0.1 	 0.0000 	 -0.2266 	 -0.3155 
0.1 	 0.0000 	 -0.6976 	 -0.3873 
0.3 	 0.0000 	 -0.5699 	 -0.2961 
0.3 	 0.0000 	 -0.4256 	 -0.2392 
0.4 	 0.0000 	 -0.3476 	 -0.1031 
0.6 	 0.0000 	 -0.3362 	 -0.0728 
0.6 	 0.0000 	 -0.3502 	 -0.0338 
0.7 	 0.0000 	 -0.4019 	 -0.0535 
0.8 	 0.0000 	 -0.4682 	 -0.1170 
1.0 	 0.0000 	 -0.4719 	 -0.0708 
1.1 	 0.0000 	 -0.4346 	 -0.0143 
1.2 	 0.0000 	 -0.4226 	 -0.0086 
1.3 	 0.0000 	 -0.4828 	 -0.0754 
1.4 	 0.0000 	 -0.4040 	 0.0338 
1.5 	 0.0000 	 -0.3823 	 0.0129 
1.5 	 0.0000 	 -0.3436 	 0.0596 
1.6 	 0.0000 	 -0.3092 	 0.1196 
1.7 	 0.0000 	 -0.3086 	 0.1161 
1.8 	 0.0000 	 -0.3140 	 0.1186 
1.9 	 0.0000 	 -0.3424 	 0.0539 
